"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-6.80605738043693,0.00933928505126569,0.44697935886762,-7.6575134401901,-7.08564259278098,-6.81261011085131,-6.54086229563383,-5.89363076038658,2290.59165626852,1.00042344415046
"mu[2]",6.05419992265128,0.0315156676124209,1.96138829580402,2.05194551060416,4.73404854285481,6.09034932422766,7.38395676837032,9.73688315152546,3873.23757105337,1.00052639540794
"mu[3]",0.0782265024688339,0.00579468726668704,0.291058319505484,-0.539751894870195,-0.0900988840801952,0.0855386096512905,0.244392186099077,0.683524015128636,2522.89996082946,1.0011647162888
"sigma[1]",0.74398937877193,0.0047709119632797,0.224407817189036,0.421932693811142,0.58337972627101,0.706878191877703,0.865449096105134,1.26478372915273,2212.44843458178,1.00257271355428
"sigma[2]",3.67682579680659,0.00758737451812801,0.489108928287574,2.84426400824304,3.3298487973609,3.63267902281064,3.97522104200841,4.76485618129252,4155.54641827724,0.999286641719774
"sigma[3]",0.48667632431019,0.00353836896617287,0.17682738597193,0.249009575202749,0.360386879446229,0.451272050616648,0.576970225211758,0.903819888470908,2497.42709417612,1.00057460589546
"beta[1,1]",-8.0027864836102,1.35878497047963e-05,0.000984764180116018,-8.00469296422736,-8.00346257552265,-8.00278078903041,-8.00209770237896,-8.00092560338157,5252.46318787489,0.99933051298904
"beta[1,2]",1.22308737526663,2.97570582040803e-05,0.00224167759841586,1.21869346799613,1.22156417025468,1.22313249929921,1.22454835077706,1.2275722802791,5675.00586593816,0.999502813439344
"beta[1,3]",0.673556867250636,2.69140114023996e-05,0.00201994475231504,0.669668770047517,0.672153960815237,0.673578695559399,0.674899448180278,0.677578016738228,5632.77129644951,1.00022704032764
"beta[2,1]",-6.56052748881496,0.000786769472344818,0.0343401551444544,-6.63020586617258,-6.58323235628811,-6.56012808320296,-6.53735585461252,-6.49399295267292,1905.0637140078,1.00151332983946
"beta[2,2]",20.0469543415357,0.00757700757630791,0.311784182438137,19.4240103005088,19.8429029142039,20.0521779208935,20.2582000266098,20.64935767816,1693.21736664311,1.00256021840669
"beta[2,3]",-0.033947650045242,0.000261125326847742,0.0129459679933642,-0.0589394318497083,-0.0427375484094387,-0.0338135228269049,-0.0250720639738131,-0.00906716862975595,2457.93879731996,1.00229980500046
"beta[3,1]",-6.03064522845005,1.22533131823959e-05,0.000879961291686763,-6.032388893198,-6.03122991519369,-6.03065608904634,-6.03005127472417,-6.02897271239293,5157.27238413945,0.999099374703776
"beta[3,2]",0.296384743554322,9.78242087012152e-06,0.000643519285028669,0.295136570748848,0.295941999996415,0.296383388262687,0.296808910002152,0.297654872038564,4327.43392718407,0.999632109178001
"beta[3,3]",-0.377271080825029,1.38182039440314e-05,0.00097532565745416,-0.379187646187923,-0.377929636419678,-0.377272013708228,-0.376601183274528,-0.375357288670312,4981.9125736869,0.999704828846873
"y_rep[1]",2928.994,0.897494626249364,56.7626810897012,2820,2890,2928,2968,3040.025,4000.01930226037,0.999883717558209
"y_rep[2]",4971.16375,1.15017097277421,71.4008995605238,4831.975,4921,4972,5021,5108,3853.74133100477,0.999672318804785
"y_rep[3]",17956.58625,2.14120086202174,134.529562222269,17692.975,17863,17957.5,18049,18221,3947.4863667395,0.999683378961563
"y_rep[4]",93483.932,5.07494333642144,312.544439052426,92879,93275.75,93486.5,93692,94105,3792.810609324,0.999786399606119
"y_rep[5]",6255.1605,1.31301540080421,78.8805823781688,6101,6202,6254.5,6310,6410,3609.11380299491,1.00001486387208
"y_rep[6]",186.0515,0.214790467365487,13.6678473163321,160,177,186,195,214,4049.20935279261,1.00000602789938
"y_rep[7]",35671.7685,3.04351840331278,192.167771805993,35297.95,35542,35667,35803,36044.025,3986.66042239484,0.999976861318806
"y_rep[8]",13607.3795,1.85920287958531,117.235231499009,13386,13528.75,13605,13684,13848,3976.14967246469,0.999120611464089
"y_rep[9]",2739.18425,0.821837788654386,52.6318566081419,2636,2704,2739,2774,2842,4101.33427352954,0.999968552692561
"y_rep[10]",858.19975,0.497874175346066,29.8663414151262,799,838,858,878,917,3598.52770488653,1.00195970307163
"y_rep[11]",17400.6565,2.0866942790981,130.490924887977,17143.975,17314,17402,17487,17651,3910.59614539624,1.00018049787389
"y_rep[12]",864.774,0.471384529517788,30.0619502729539,806,845,864,885,925,4067.0887899923,1.00000433290378
"y_rep[13]",1490.85075,0.622969516833778,39.9633299585113,1412,1465,1491,1517,1568,4115.1886118948,1.00033313093554
"y_rep[14]",44217.36675,3.47181341581457,221.141618987357,43788,44065.75,44221,44366,44660.05,4057.21680304265,1.00015893298047
"y_rep[15]",14641.12475,2.05689308549615,123.222681129424,14400,14556,14643,14723,14886.025,3588.87119507854,0.999727058515604
"y_rep[16]",3258.495,0.891450602301499,57.043211313786,3152.975,3218,3259,3297,3371,4094.6177788016,0.999849079928639
"y_rep[17]",891.3805,0.491490255575043,29.4104907131962,834,872,891,912,950,3580.75591417211,1.00004809764823
"y_rep[18]",6036.9885,1.25069353324932,78.0190688968273,5884.975,5984,6037,6088,6191,3891.34483025626,1.00084781803827
"y_rep[19]",20319.3255,2.3322994161381,143.145697533774,20040,20223,20316,20415,20603.025,3766.93382780311,0.999871918838138
"y_rep[20]",125.00225,0.176962366342792,11.1294299490247,104,117,125,133,147,3955.34168645119,0.999804214888717
"y_rep[21]",2738.756,0.847758178062971,52.5933358777011,2637,2703,2738,2774,2844,3848.73013276048,1.00115249437619
"y_rep[22]",183410.506,7.8801062349268,505.687505706199,182439.975,183063,183402.5,183758,184410,4118.13236856313,0.999739979365157
"y_rep[23]",479.92,0.361362370550085,22.1729905600845,437,465,479.5,495,524,3764.98015242589,0.999377491005117
"y_rep[24]",888.7795,0.475874470258051,29.477399970609,833,869,888,909,947,3837.01534342724,0.999855640430605
"y_rep[25]",181.04975,0.215000036638633,13.6628490183536,155,172,181,190,209,4038.36408167568,0.999638548380427
"y_rep[26]",449.21425,0.345130204320365,21.2874642917256,409,435,449,464,491,3804.3628127547,1.00000186727825
"y_rep[27]",355.372,0.325337142035716,19.8041199448927,317,342,355,368,395,3705.47426623022,1.00102066088875
"y_rep[28]",54320.3645,3.74198588860157,237.101147990356,53865,54159.75,54320,54477,54798,4014.79174660588,0.999688159689427
"y_rep[29]",11504.977,1.70155369844372,106.884175759356,11301.95,11432,11505,11578,11713.025,3945.80397867356,1.00066071668404
"y_rep[30]",31098.21775,2.78675575746146,178.667727567561,30739.95,30978,31099.5,31221,31438.025,4110.49773650233,1.00038991688052
"y_rep[31]",575706.05075,14.8357930811651,973.297874426184,573805.925,575046.75,575704.5,576365,577663.05,4303.97772404025,0.999769976773089
"y_rep[32]",2001.54475,0.774368436922757,48.5938868469813,1906,1969,2002,2034,2100,3937.92998542493,1.00055683755682
"y_rep[33]",24663.8095,2.55955400532176,156.937173827243,24356,24559,24661,24767,24972,3759.43915300708,0.999849121850906
"y_rep[34]",60.39025,0.122284306418263,7.79218419129821,46,55,60,66,76,4060.47621049347,0.999454366134577
"y_rep[35]",147.43525,0.188249565377935,12.0376298984016,124,139,147,155,172,4088.97079713951,0.999784232200309
"y_rep[36]",8110.76775,1.46477130154505,90.9510793484396,7930.975,8050,8111,8171,8292,3855.4588283159,1.00004913682742
"y_rep[37]",1357.28325,0.573859608162641,36.5358144273734,1286,1333,1356,1382,1429,4053.4635360523,1.00006042110466
