"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-5.86507277801843,0.0111677310087689,0.647239385893208,-7.10185006579418,-6.27729902545856,-5.87441997693067,-5.45177307830396,-4.55033571943636,3358.9225092854,1.00007744349269
"mu[2]",10.6576677342603,0.0476962678673189,3.29017353860002,3.84573910604635,8.47038637540818,10.7208666870073,12.8685774783469,17.0032006510275,4758.48620844996,0.999915637616137
"mu[3]",0.746513003944221,0.0124033821710214,0.758236877671276,-0.857320342345043,0.291233550383681,0.745215116245668,1.23090104450232,2.24154195642995,3737.05556554651,1.00016033376343
"mu[4]",0.301689958841224,0.00558042332789722,0.308805870361276,-0.305270192862714,0.116896072523041,0.302787362956727,0.478649615353216,0.93741299275164,3062.22293009403,1.00108951019229
"mu[5]",-0.393128503605459,0.00520387528382104,0.259468642741852,-0.904777875180909,-0.545433097706759,-0.396966908543123,-0.245804170095039,0.148652993978658,2486.08515756597,1.00039289832392
"mu[6]",-0.290554267670777,0.00516692192168177,0.270164282703032,-0.834199360251163,-0.44714591777097,-0.294332638960169,-0.134595660854046,0.259602304589597,2733.95943619185,0.999889237685067
"mu[7]",-0.0270285998742017,0.00440206904647289,0.22890930403888,-0.495567389509679,-0.154781103000134,-0.029304957266034,0.10165078200244,0.457010713852617,2704.04048491364,0.999993287069141
"mu[8]",-1.06172867811985,0.00825649444385658,0.406784807862202,-1.89065247799079,-1.30460875390389,-1.05419985363937,-0.814528756743114,-0.271977089876206,2427.38164742277,1.00093674110903
"mu[9]",-1.48714411004985,0.0187582912068525,1.02000218019911,-3.5736627837333,-2.11209768509452,-1.49365351301627,-0.836323270531336,0.521049135549367,2956.75713042347,0.999306811135098
"sigma[1]",1.09748414123164,0.00464181347577125,0.273239502244993,0.696804766300195,0.902164213181218,1.0514826647055,1.24874360533888,1.73331973520957,3465.06671710765,0.999770741541349
"sigma[2]",7.0971075672539,0.01044622141442,0.725987023790708,5.86010499166207,6.60059629544642,7.04583245745524,7.52863750796298,8.67780246962465,4829.91249944661,0.999525106401481
"sigma[3]",1.28265673487501,0.00453031901555769,0.292058694284857,0.840376940810753,1.077772426648,1.23387844240779,1.44301786598523,1.96147545770337,4156.06860705309,0.999983950271624
"sigma[4]",0.512129875530691,0.00345293960591107,0.186390127769269,0.26767837390963,0.380693089927579,0.472860268513533,0.598339136553568,0.985164632206975,2913.85440230133,1.00012502647957
"sigma[5]",0.439878703827144,0.0035468360496352,0.170961242124048,0.218505169266861,0.318231890541257,0.405824046688105,0.517650513860771,0.883679004430441,2323.34177431305,1.00016238466671
"sigma[6]",0.444637724707896,0.00325738357246955,0.169589964130139,0.22431594384158,0.325561941073856,0.410557657045157,0.524046562823729,0.87907785110701,2710.58164416267,1.00147691854265
"sigma[7]",0.375811905762243,0.00293131863786595,0.151928616146194,0.181131419913787,0.268306429712795,0.342943610415415,0.443237017830272,0.745235414944777,2686.29129925349,0.999812831320923
"sigma[8]",0.667792249324545,0.004281106768572,0.208213320374858,0.376946761500195,0.514804096264505,0.629762158286134,0.780868777262828,1.15926175752863,2365.40168425435,1.00025697169733
"sigma[9]",1.74134074228283,0.00565085602418525,0.339126857717402,1.19572417704505,1.49826046996412,1.70321600428754,1.93262598302275,2.53555990735333,3601.60339611501,0.999988158953762
"beta[1,1]",-7.79625073452979,6.88710507302336e-05,0.00359118411271814,-7.80334975904927,-7.7986451574601,-7.79630723216252,-7.79376035753862,-7.78923832237364,2718.95440294043,1.00089926798075
