"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-6.93556644822654,0.00818682283915349,0.507989342032896,-7.94451438811059,-7.2487522478978,-6.95206696908481,-6.62996435882943,-5.84047020741426,3850.15679517087,1.00072263111517
"mu[2]",0.101270226759757,0.0130062444318322,0.721850712171321,-1.31111926649233,-0.363318397450171,0.103430302276998,0.559082945913743,1.5010375799575,3080.28538531347,0.999721911054379
"mu[3]",0.46783075331921,0.00385216123729386,0.212817056710862,0.050821798333931,0.340986405217374,0.464034244214483,0.591377017933944,0.89987585283216,3052.13649238423,1.00070469779362
"mu[4]",-0.0268436281155256,0.003477391343274,0.152789880795788,-0.323045931976135,-0.105717170798734,-0.0268685408271612,0.0553998139715345,0.281723724183768,1930.55441324231,1.00483090747353
"mu[5]",-0.140983151371568,0.00517061267607231,0.316622888399991,-0.780595140546889,-0.331701959033078,-0.140140166051277,0.0465312269976331,0.502401010355182,3749.73520100058,1.00023303612304
"mu[6]",-1.13961892879402,0.0086572922919725,0.500972396243286,-2.13363067292948,-1.45207943564971,-1.14793324312375,-0.833744400801523,-0.103804255266376,3348.6012283805,0.999708895730625
"sigma[1]",0.856949126048941,0.00391883036273713,0.235225421132082,0.513182654111371,0.690804966786584,0.818674539730558,0.981175920266563,1.41810888863436,3602.92797983451,1.00043410000681
"sigma[2]",1.21372531830481,0.0047698784132578,0.295926178117013,0.760289630763916,1.00259391191048,1.16637483989977,1.37268953256991,1.91442247141907,3849.03759437981,0.999518105592454
"sigma[3]",0.340146935524515,0.00276594400107802,0.142989506544816,0.160850717961244,0.239882189727127,0.308001261617496,0.400064919185831,0.708206568059848,2672.52371975782,0.999657000169525
"sigma[4]",0.239888508650121,0.00275953163465139,0.122821759431439,0.0998093333351389,0.155465548203732,0.20788125599535,0.287217429551355,0.574750405568557,1980.97901337785,0.999544549323554
"sigma[5]",0.538286502777393,0.00327133022432986,0.184738120920536,0.291148798710818,0.41021138784454,0.501191062661495,0.622044243201636,1.0026226215083,3189.07160983269,0.999438917703166
